Family	Population	Tree	Location	Region	Latitude	Longitude	SeedWeight	Germination	Survival	Height	Fitness	Elevation	PC1	PC2	Family_Homozygosity	Population_Homozygosity	Genetic_Diversity	Genetic_Load
AB_05	AB	5	TN	E	35.55297	83.49438	0.003868	0.14	0.923076923	27.32542712	3.531285966	1812	-0.044620267	-0.05689514	0.906349835	0.010900911	0.096490386	1.01486271
AB_08	AB	8	TN	E	35.55212	83.49259	0.004702	0.04	0.692307692	31.14205277	0.862395307	1785	-0.039470358	-0.07471556	0.887867273	0.010900911	0.096490386	1.01486271
AB_12	AB	12	TN	E	35.5389	83.49463	0.004182	0.2	0.933333333	29.61082539	5.527354072	1750	-0.042973187	-0.05978979	0.878349892	0.010900911	0.096490386	1.01486271
AB_16	AB	16	TN	E	35.53882	83.49534	0.003484	0.36	0.866666667	31.97449367	9.976042029	1738	-0.043910596	-0.06055466	0.918334742	0.010900911	0.096490386	1.01486271
ALB_01	ALB	1	ME	C	44.3067	70.84019	0.002736	0.78	1	23.42166677	18.26890008	455	0.033600383	0.05241128	0.890399642	0.006835856	0.094491657	1.003412454
ALB_02	ALB	2	ME	C	44.30564	70.84081	0.004442	0.66	1	30.23820177	19.95721317	524	0.008742476	0.04724817	0.888534073	0.006835856	0.094491657	1.003412454
ALB_03	ALB	3	ME	C	44.30359	70.84096	0.003128	0.66	1	29.61002304	19.54261521	523	0.001388146	0.06512981	0.916801224	0.006835856	0.094491657	1.003412454
ALB_05	ALB	5	ME	C	44.30182	70.83729	0.003554	0.72	1	32.38475298	23.31702215	573	0.003165301	0.07032021	0.899431169	0.006835856	0.094491657	1.003412454
ALB_06	ALB	6	ME	C	44.30061	70.83641	0.003562	0.84	1	27.23219874	22.87504694	589	0.023307254	0.05761142	0.918998457	0.006835856	0.094491657	1.003412454
APP_01	APP	1	VT	C	44.20933	72.9295	0.002236	0.24	1	29.0529788	6.972714912	743	0.005436566	0.04994065	0.899922803	0.010496228	0.097122329	1.014667925
APP_02	APP	2	VT	C	44.21172	72.92999	0.003436	0.74	1	31.7973818	23.53006253	780	0.000208726	0.04393561	0.909144162	0.010496228	0.097122329	1.014667925
APP_03	APP	3	VT	C	44.22097	72.92639	0.002956	0.12	0.714285714	24.36073237	2.088062773	896	0.002231169	0.05981709	0.888471312	0.010496228	0.097122329	1.014667925
APP_04	APP	4	VT	C	44.2114	72.93122	0.003416	0.86	0.933333333	27.09272146	21.74642442	741	-0.003878939	0.047302	0.925607203	0.010496228	0.097122329	1.014667925
APP_05	APP	5	VT	C	44.21034	72.93051	0.004086	0.78	0.6	32.02283374	14.98668619	733	-0.009228929	0.0629467	0.896870701	0.010496228	0.097122329	1.014667925
APP_06	APP	6	VT	C	44.21235	72.93502	0.003412	0.86	1	33.46781079	28.78231728	658	-0.021298945	0.05746384	0.906698456	0.010496228	0.097122329	1.014667925
ASC_01	ASC	1	VT	C	43.43787	72.45218	0.004124	0.82	1	29.13499353	23.89069469	883	0.009730971	0.05164152	0.868178883	0.008538439	0.098033264	1.013819687
ASC_02	ASC	2	VT	C	43.43983	72.45328	0.003704	0.9	0.6	34.47464634	18.61630902	847	0.005621101	0.03600575	0.927275001	0.008538439	0.098033264	1.013819687
ASC_03	ASC	3	VT	C	43.44192	72.45589	0.003606	0.8	0.866666667	27.62969566	19.156589	861	0.00679114	0.04325188	0.901954437	0.008538439	0.098033264	1.013819687
ASC_04	ASC	4	VT	C	43.4426	72.45713	0.003084	0.72	1	28.27059047	20.35482514	870	0.003082938	0.03550538	0.915140082	0.008538439	0.098033264	1.013819687
ASC_05	ASC	5	VT	C	43.44376	72.45867	0	0.72	1	26.83469209	19.32097831	879	0.005801112	0.03413399	0.92258603	0.008538439	0.098033264	1.013819687
ASC_06	ASC	6	VT	C	43.44379	72.45434	0.003524	0.74	0.6	24.81207298	11.0165604	967	0.020684173	0.05807763	0.894994259	0.008538439	0.098033264	1.013819687
B_02	B	2	VT	C	44.10929	73.0714	0.002704	0.44	1	36.32012924	15.98085686	311	-0.018126241	0.04792205	0.922627545	0.004837963	0.085895825	1.025115627
B_03	B	3	VT	C	44.10897	73.0712	0.002136	0.32	1	33.65025127	10.7680804	325	-0.028943877	0.04232113	0.91804041	0.004837963	0.085895825	1.025115627
B_04	B	4	VT	C	44.10908	73.0713	0.002576	0.74	0.6	29.14901463	12.9421625	328	-0.017286913	0.05074706	0.910701919	0.004837963	0.085895825	1.025115627
B_05	B	5	VT	C	44.10836	73.0715	0.003122	0.48	0.933333333	35.32109426	15.82385022	310	0.012542625	0.05991516	0.899738492	0.004837963	0.085895825	1.025115627
B_06	B	6	VT	C	44.10889	73.0714	0.001878	0.1	0.818181818	33.40166862	2.732863796	321	0.011835452	0.05123199	0.919718537	0.004837963	0.085895825	1.025115627
